Gene Id: 1	 Cluster Id from solution: 1	 Ground truth cluster: -1
Gene Id: 388	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 389	 Cluster Id from solution: -1	 Ground truth cluster: 6
Gene Id: 390	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 391	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 392	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 393	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 394	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 395	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 396	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 397	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 398	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 399	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 400	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 401	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 402	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 403	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 404	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 405	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 406	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 407	 Cluster Id from solution: -1	 Ground truth cluster: 7
Gene Id: 408	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 409	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 410	 Cluster Id from solution: -1	 Ground truth cluster: -1
Gene Id: 411	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 412	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 413	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 414	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 415	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 416	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 417	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 418	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 419	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 420	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 421	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 422	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 423	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 424	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 425	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 426	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 427	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 428	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 429	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 430	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 431	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 432	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 433	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 434	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 435	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 436	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 437	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 438	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 439	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 440	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 441	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 442	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 443	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 444	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 445	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 446	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 447	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 448	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 449	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 450	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 451	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 452	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 453	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 454	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 455	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 456	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 457	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 458	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 459	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 460	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 461	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 462	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 463	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 464	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 465	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 466	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 467	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 468	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 469	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 470	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 471	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 472	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 473	 Cluster Id from solution: -1	 Ground truth cluster: 8
Gene Id: 474	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 475	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 476	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 477	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 478	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 479	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 480	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 481	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 482	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 483	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 484	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 485	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 486	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 487	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 488	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 489	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 490	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 491	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 492	 Cluster Id from solution: -1	 Ground truth cluster: 9
Gene Id: 493	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 494	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 495	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 496	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 497	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 498	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 499	 Cluster Id from solution: 1	 Ground truth cluster: 10
Gene Id: 500	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 501	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 502	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 503	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 504	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 505	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 506	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 507	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 508	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 509	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 510	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 511	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 512	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 513	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 514	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 515	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 516	 Cluster Id from solution: -1	 Ground truth cluster: 10
Gene Id: 517	 Cluster Id from solution: -1	 Ground truth cluster: 10
Jaccard Coefficient: 0.3387681846332739
Rand Index: 0.8042717807317173
-0.29250907108738494
Cluster Id: 1 	 Cluster size: 256
Cluster Id: -1 	 Cluster size: 261
Cluster Id: 1 	 Cluster size: 256
